COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate,Fertility Rate,Tabacco Consumption,Obesity Rate,Internet Users (in %),Median Age,Economic Freedom Score,Oil Production,Population Growth Rate,Life Expectancy,Meat Consumption per kg,Incarceration Rate (per 100 000),Literacy Rate,Age at First Marriage,Spending on Education (in %),Homeless Population (per 10 000),Milk Consumption,Num. of Scientific and Technical Journals Articles,Books Published,Kilocalories,Avg. Yearly Temperature (in Celsius)
Lesotho,1158.0,,5.0,43.6,,0.527,6.3,,,0.9,0.001,0.001,,86.4,,978.0,0.53,0.449,309.0,87.5,3.108,23.5,16.6,0.316,24.7,53.1,,1.31,50.7,15.4,92.0,51.4,20.9,6.5,,25.35,9.012,,2460.0,11.85
Liberia,523.0,,5.8,3.3,,0.48,5.32,,0.94,0.855,0.2,0.001,,84.6,,774.0,0.51,0.353,12643.0,7.4,4.247,14.2,9.9,0.078,18.0,49.7,,2.52,64.1,7.9,54.0,32.8,18.9,2.3,,3.04,5.188,,2200.0,25.3
Libya,4810.0,,0.0,,,0.724,1.95,,,0.027000000000000003,0.97,0.003,,11.5,14.0,3863.0,0.09,,,4.5,2.206,,32.5,0.20800000000000002,25.8,,159383.0,1.33,75.8,28.6,139.0,24.2,29.2,2.3,405.0,75.0,24.257,26.0,3150.0,21.8
Lithuania,19795.0,132.67,15.0,4.6,,0.882,7.13,55.0,0.42,0.8370000000000001,0.001,0.001,0.00015,3.7,14.0,8054.0,0.74,0.373,2313.0,20.2,1.61,36.3,26.3,0.8009999999999999,44.5,74.2,689.0,-0.55,76.0,49.5,216.0,99.8,27.3,4.0,14.1,295.46,809.278,3075.0,3430.0,6.2
Luxembourg,115481.0,154.26,13.0,0.3,,0.916,8.68,50.0,0.39,0.7240000000000001,0.023,0.001,3.8e-05,2.8,18.0,28438.0,0.221,0.349,6048.0,8.6,1.34,29.5,22.6,0.945,39.5,75.9,,1.27,82.4,141.7,83.0,,31.1,4.0,37.5,255.3,1438.158,2000.0,3680.0,8.65
Madagascar,523.0,41.4,1.9,,,0.528,5.7,,0.93,0.85,0.1,0.001,6.300000000000001e-06,50.6,,397.0,0.41,0.426,79.0,9.2,4.026,44.0,5.3,0.095,20.3,56.6,,2.67,65.3,17.6,102.0,49.4,18.4,2.8,,24.84,4.836,119.0,2130.0,22.65
Malawi,435.0,,3.7,1.8,,0.483,5.74,,0.99,0.8195,0.2,0.001,,41.6,,288.0,0.39,0.447,120.0,10.6,4.127,25.8,5.8,0.141,16.8,51.4,,2.87,65.6,5.1,71.0,35.1,17.9,4.0,,7.98,12.732,117.0,2150.0,21.9
Malaysia,11414.0,103.34,0.9,2.1,,0.81,7.19,,0.96,0.092,0.613,0.198,,8.6,10.0,2663.0,0.68,0.41,1194.0,5.8,1.983,28.9,15.6,0.804,29.2,74.0,21202.0,1.35,74.7,50.9,212.0,47.1,25.7,4.7,,25.28,750.475,15354.0,2890.0,25.4
Mali,887.0,,1.3,,,0.434,3.93,,0.95,0.024,0.95,0.001,,94.0,,583.0,0.26,0.33,90.0,8.0,5.785,13.0,8.6,0.124,16.1,58.1,,2.99,62.8,19.0,33.0,13.6,16.7,3.1,164.0,98.68,4.718,14.0,2590.0,28.25
Malta,33752.0,134.48,8.1,1.6,,0.895,7.68,,0.86,0.9159999999999999,0.026000000000000002,0.001,6.300000000000001e-06,7.0,,10668.0,6.91,0.292,3897.0,5.3,1.1,33.9,28.9,0.785,42.3,68.6,,0.31,81.9,86.9,153.0,85.8,29.2,5.3,,190.06,960.733,404.0,3600.0,19.2
Mauritania,1678.0,,0.0,,,0.546,3.92,,0.98,0.0014000000000000002,0.9990000000000001,,,72.9,7.0,981.0,0.76,0.326,190.0,5.5,4.503,,12.7,0.209,21.0,55.7,,2.69,68.4,29.9,53.0,26.6,19.0,2.6,,160.82,4.542,,2810.0,27.65
Mauritius,11169.0,,3.6,2.9,,0.804,8.14,,,0.322,0.17300000000000001,0.001,,16.0,,2983.0,20.07,0.368,1381.0,8.8,1.4,35.9,10.8,0.555,36.3,73.0,,0.23,74.1,39.6,218.0,64.6,25.4,4.8,,117.27,106.789,80.0,2930.0,22.4
Mexico,9849.0,48.35,6.5,29.1,,0.779,6.07,21.0,0.73,0.889,0.0001,0.001,0.0025,14.2,12.0,3266.0,0.43,0.45399999999999996,1066.0,5.3,2.103,24.1,28.9,0.69,29.3,64.7,17142.0,1.23,76.0,58.6,166.0,78.9,26.0,4.9,35.4,111.87,129.534,7521.0,3260.0,21.0
Moldova,2957.0,114.01,15.2,4.1,,0.75,5.78,,0.72,0.953,0.004,,0.00012,14.4,14.0,1895.0,0.7,0.257,480.0,12.2,1.269,24.5,18.9,,37.7,59.1,,-0.24,73.3,22.7,182.0,95.8,25.8,6.7,,155.18,51.827,,2850.0,9.45
Mongolia,4295.0,43.67,7.4,6.2,,0.737,6.48,,,0.013000000000000001,0.05,0.551,,15.6,14.0,1892.0,2.45,0.327,519.0,18.0,2.867,38.5,20.6,0.23,29.8,55.4,7739.0,1.5,68.1,108.8,154.0,94.6,26.0,4.1,,139.82,44.476,285.0,2240.0,-0.7
Montenegro,8825.0,64.44,8.0,2.2,,0.829,5.77,,0.71,0.7879999999999999,0.191,0.001,,2.3,14.0,2645.0,1.51,0.39,1711.0,16.2,1.748,,23.3,0.804,39.6,60.5,,0.04,75.9,,172.0,93.9,28.6,,,349.21,398.21,,2700.0,10.55
Morocco,3282.0,,0.6,1.4,,0.686,5.04,,0.97,0.01,0.99,0.001,0.00013,21.4,12.0,3736.0,0.46,0.395,467.0,7.3,2.382,23.4,26.1,0.613,29.1,62.9,4.0,1.26,73.0,20.6,238.0,34.1,25.5,5.4,,54.68,140.359,3677.0,3260.0,17.1
Mozambique,504.0,,2.4,3.5,,0.456,3.51,,0.86,0.561,0.179,0.001,,74.2,16.0,576.0,0.72,0.54,118.0,23.2,4.783,27.8,7.2,0.209,17.0,48.6,,2.86,58.1,5.6,63.0,26.0,17.5,6.5,246.0,4.79,4.713,,2070.0,23.8
Myanmar,1421.0,,4.8,2.3,,0.583,3.04,,0.97,0.062,0.043,0.899,,44.7,7.0,672.0,0.17,0.307,292.0,3.0,2.138,63.3,,0.305,29.2,53.6,284.0,0.9,69.1,10.7,171.0,58.2,20.5,2.2,93.7,31.48,4.301,3660.0,,13.05
Namibia,4957.0,,9.8,17.7,,0.646,6.52,,0.92,0.9,0.004,0.001,6.300000000000001e-06,42.4,,,0.64,0.591,883.0,13.5,3.344,27.0,17.2,0.381,21.8,58.7,,2.12,64.6,34.0,295.0,56.7,29.2,8.4,,73.05,63.718,106.0,2360.0,19.95
Nepal,1074.0,,2.0,2.3,,0.602,5.22,,0.93,0.009000000000000001,0.042,0.10300000000000001,,30.8,10.0,1430.0,0.16,0.32799999999999996,180.0,9.8,1.876,64.2,4.1,0.359,25.3,53.8,,1.09,70.9,10.0,86.0,20.8,17.9,5.2,,52.1,28.189,,2340.0,8.1
Netherlands,53053.0,152.94,8.7,0.6,,0.944,8.96,45.0,0.33,0.40399999999999997,0.051,0.002,0.0019,4.0,12.0,23315.0,4.53,0.285,5635.0,9.3,1.57,32.2,20.4,0.9309999999999999,42.8,76.8,1070.0,0.29,81.8,89.3,63.0,,30.9,5.5,21.0,341.47,1785.333,16502.0,3000.0,9.25
New Zealand,43264.0,153.88,10.7,0.7,,0.931,9.25,39.0,0.33,0.37,0.009000000000000001,0.016,0.00048,4.7,10.0,27407.0,0.9,,4024.0,10.3,1.72,29.6,30.8,0.9009999999999999,37.2,84.4,7633.0,0.93,82.0,142.1,188.0,,29.4,6.4,86.0,137.25,1663.247,3600.0,2810.0,10.55
Nicaragua,1913.0,,5.2,7.2,,0.66,3.6,,0.7,0.846,0.001,0.001,,16.6,13.0,1599.0,0.83,0.462,474.0,4.7,2.377,,23.7,0.268,27.3,57.7,,1.07,75.0,14.9,332.0,49.2,20.6,4.3,,85.16,6.805,27.0,2420.0,24.9
Niger,555.0,,0.5,4.4,,0.394,3.29,,1.0,0.005,0.983,,,80.4,,615.0,0.36,0.34299999999999997,78.0,10.1,6.824,7.9,5.5,0.098,14.8,51.6,631.0,3.81,63.3,11.2,47.0,13.7,15.7,3.5,,58.92,2.451,,2390.0,27.15
Nigeria,2361.0,,13.4,34.5,,0.539,4.1,,0.96,0.49,0.535,0.001,6.300000000000001e-06,117.2,7.0,1108.0,0.02,0.35100000000000003,233.0,6.9,5.317,7.3,8.9,0.695,18.6,57.3,10752.0,2.58,62.6,8.6,32.0,21.6,19.3,,1658.0,7.91,28.6,1314.0,2710.0,26.8
North Macedonia,6093.0,37.2,,1.2,,0.774,5.89,,0.76,0.7070000000000001,0.33299999999999996,0.001,6.300000000000001e-06,6.1,14.0,2293.0,0.73,0.342,1073.0,7.2,1.489,,22.4,0.763,39.0,71.1,,0.08,74.8,35.4,105.0,,26.0,3.3,,157.93,236.683,,,9.8
Norway,74986.0,159.99,7.5,0.5,,0.957,9.81,48.0,0.22,0.767,0.032,0.006,8.2e-05,2.4,15.0,,1.81,0.27,6818.0,11.8,1.53,43.0,23.1,0.9590000000000001,39.5,73.0,313661.0,0.94,82.6,61.7,49.0,,31.9,8.0,7.0,261.34,2211.144,10204.0,3450.0,1.5
Oman,15343.0,57.53,0.8,0.3,,0.813,3.0,,1.0,0.065,0.86,0.008,,11.4,9.0,10143.0,0.35,,1730.0,4.5,2.842,9.5,27.0,0.77,26.2,61.0,217178.0,4.08,73.9,49.8,45.0,41.9,24.8,6.8,,152.28,177.245,7.0,,25.6
Pakistan,1187.0,,0.3,3.9,,0.557,4.31,,0.92,0.016,0.965,0.001,,67.2,7.0,1539.0,0.43,0.335,178.0,0.6,3.454,41.5,8.6,0.556,22.0,55.0,400.0,1.91,65.6,12.3,38.0,27.1,18.3,2.9,943.0,183.13,60.802,3811.0,2280.0,20.2
Panama,15728.0,125.25,7.9,9.4,,0.815,7.18,,0.88,0.92,0.006999999999999999,0.002,0.00063,14.9,12.0,3819.0,1.57,0.49200000000000005,1857.0,2.9,2.437,16.9,22.7,0.568,30.1,67.2,,1.55,79.3,54.5,420.0,80.9,21.6,4.1,,70.29,41.419,940.0,2450.0,25.4
Papua New Guinea,2845.0,,1.2,,,0.555,6.1,,,0.97,0.001,0.001,,44.8,7.0,2161.0,1.11,0.419,101.0,3.6,3.52,,21.3,0.107,24.0,58.4,7013.0,2.01,65.3,73.0,62.0,33.0,21.4,,,,7.436,122.0,,25.25
Paraguay,5406.0,56.89,7.2,7.1,,0.728,6.18,,0.92,0.96,0.001,0.001,6.3e-05,19.4,14.0,4402.0,0.54,0.462,935.0,6.2,2.405,29.8,20.3,0.598,29.7,61.8,,1.25,75.8,70.3,241.0,77.8,22.7,3.4,,75.72,14.088,1007.0,2660.0,23.55
Peru,6978.0,51.81,6.3,7.9,,0.777,6.53,,0.84,0.87,0.001,0.002,0.00012,13.2,14.0,3344.0,0.44,0.428,767.0,2.7,2.233,33.9,19.7,0.49,29.1,67.8,1267.0,1.2,79.9,34.5,290.0,77.7,23.5,3.9,223.0,62.15,50.955,4101.0,2410.0,19.6
Philippines,3324.0,49.31,6.6,6.5,,0.718,6.56,,0.96,0.85,0.08,0.001,6.300000000000001e-06,27.3,15.0,2696.0,0.27,0.444,394.0,2.5,2.526,35.3,6.4,0.685,24.1,63.8,193.0,1.51,70.4,31.1,200.0,90.1,25.3,2.7,424.0,15.66,20.975,1507.0,2580.0,25.85
Poland,15727.0,130.98,11.6,0.7,,0.88,6.85,43.0,0.75,0.943,0.0002,0.001,0.00029,4.4,15.0,9408.0,0.6,0.297,2015.0,9.3,1.42,40.8,23.1,0.915,41.9,67.8,525.0,-0.17,78.3,78.1,181.0,93.0,27.0,4.6,8.0,205.39,940.44,21130.0,3410.0,7.85
Portugal,23350.0,150.39,12.3,0.8,,0.864,7.9,33.0,0.72,0.843,0.004,0.006,3.8e-05,3.7,16.0,9594.0,2.03,0.33799999999999997,3242.0,7.2,1.42,25.3,20.8,0.743,44.6,65.3,,-0.39,81.6,91.1,111.0,80.5,31.0,4.9,3.0,205.04,1393.792,7868.0,3580.0,15.15
Qatar,64782.0,105.2,2.0,0.4,,0.848,3.24,,0.95,0.138,0.775,0.031,,6.5,7.0,,0.83,,3166.0,4.7,1.846,15.6,35.1,0.91,33.7,72.6,500000.0,2.36,77.2,90.5,53.0,41.0,25.4,2.9,,,540.321,209.0,,27.15
Romania,12914.0,214.33,12.6,1.3,,0.828,6.4,,0.84,0.98,0.006500000000000001,0.001,0.00057,7.0,14.0,6513.0,0.58,0.36,1576.0,7.3,1.76,42.0,22.5,0.643,42.5,68.6,25469.0,-0.5,75.6,54.5,116.0,96.8,26.7,3.1,7.0,238.33,530.347,14984.0,3490.0,8.8
Russia,11606.0,87.01,11.7,8.2,4.3,0.824,3.31,58.0,0.34,0.618,0.125,0.001,0.01,5.8,14.0,2371.0,0.32,0.375,1488.0,21.6,1.504,34.2,23.1,0.851,40.3,58.9,73292.0,0.01,73.2,51.0,325.0,99.2,24.9,3.7,4.0,163.57,559.78,115171.0,3320.0,-5.1
Rwanda,820.0,,9.0,2.6,,0.543,3.1,,0.95,0.9359999999999999,0.048,,,34.3,14.0,,0.29,0.43700000000000006,170.0,9.5,3.99,20.2,5.8,0.21600000000000003,19.7,71.1,,2.36,69.1,4.4,511.0,24.3,20.6,3.1,,7.23,13.819,,2090.0,17.85
Saudi Arabia,23140.0,90.24,0.2,1.3,8.4,0.854,2.08,26.0,0.93,0.05,0.982,0.003,,6.6,12.0,9600.0,0.31,,3520.0,5.4,2.275,17.2,35.4,0.8029999999999999,30.8,60.7,324866.0,1.9,74.3,44.6,207.0,51.4,20.4,5.6,,83.65,323.356,2387.0,3120.0,24.65
Senegal,1452.0,35.32,0.7,0.3,,0.512,5.67,,0.96,0.042,0.961,0.003,,45.3,13.0,649.0,0.42,0.40299999999999997,146.0,11.0,4.556,14.7,8.8,0.29600000000000004,19.4,56.3,,2.77,68.6,17.7,68.0,21.5,19.9,4.8,,16.86,24.473,,2280.0,27.85
Serbia,7359.0,77.88,11.1,1.2,,0.806,6.22,,0.54,0.91,0.031,0.001,8.9e-05,5.3,14.0,3410.0,0.62,0.36200000000000004,1485.0,7.9,1.52,45.9,21.5,0.7020000000000001,43.4,63.9,2272.0,-0.34,75.9,,158.0,96.6,28.1,4.0,28.5,148.53,652.98,11897.0,2700.0,10.55
Seychelles,17382.0,,13.8,12.5,,0.796,,,,0.9470000000000001,0.011000000000000001,0.001,,14.2,,3957.0,1.8,0.46799999999999997,1549.0,7.7,2.34,25.7,14.0,0.573,36.8,61.4,,0.5,73.3,51.1,324.0,71.5,25.2,4.4,,79.23,102.991,,2400.0,27.15
Sierra Leone,528.0,,5.7,1.7,,0.452,4.86,,,0.1545,0.7859999999999999,0.003,,109.2,14.0,666.0,0.36,0.35700000000000004,257.0,11.3,4.169,37.0,8.7,0.131,19.1,47.5,,2.12,60.8,6.1,60.0,3.7,17.1,4.6,,7.0,5.359,,2120.0,26.05
Singapore,64103.0,245.5,2.5,0.2,,0.938,6.03,,0.7,0.18,0.156,0.33899999999999997,5.7e-05,2.5,10.0,,4.71,,4439.0,9.7,1.14,16.6,6.1,0.8370000000000001,35.6,89.4,,1.4,83.2,71.1,185.0,84.0,27.9,2.9,,,1990.274,12000.0,,26.45
Slovakia,19256.0,101.28,11.5,1.1,,0.86,6.97,31.0,0.47,0.8,0.0015,0.001,0.00016,5.8,14.0,8410.0,1.12,0.252,2180.0,9.3,1.56,32.1,20.5,0.815,41.8,65.0,37.0,0.04,78.2,67.4,190.0,,28.1,3.9,,143.14,975.974,9400.0,2900.0,6.8
Slovenia,26062.0,108.47,12.6,0.5,,0.917,7.54,41.0,0.47,0.68,0.036000000000000004,0.001,6.300000000000001e-06,2.1,14.0,12153.0,1.04,0.242,3158.0,14.0,1.61,25.3,20.2,0.79,44.9,65.5,,0.07,81.3,88.0,53.0,99.3,29.0,4.8,18.3,235.01,1542.951,,3220.0,8.9
South Africa,6001.0,43.91,9.3,36.4,,0.709,7.05,14.0,0.85,0.7979999999999999,0.019,0.002,0.0043,34.5,12.0,3239.0,0.57,0.63,1129.0,23.5,2.381,38.1,28.3,0.551,28.0,58.3,35.0,1.2,65.3,39.0,248.0,72.1,29.0,6.2,36.0,55.75,225.098,5418.0,3000.0,17.75
South Korea,32143.0,241.58,10.2,0.6,2.8,0.916,8.01,69.0,0.43,0.276,0.001,0.22899999999999998,6.300000000000001e-06,3.2,14.0,18695.0,0.33,0.316,3214.0,21.2,0.864,35.0,4.7,0.966,43.2,72.3,,0.36,83.3,48.0,105.0,,30.4,5.1,2.0,29.05,1297.123,63476.0,3040.0,11.5
Spain,29816.0,186.4,10.0,0.6,,0.904,8.12,41.0,0.49,0.5920000000000001,0.026000000000000002,0.001,0.00074,3.1,14.0,15187.0,1.7,0.34700000000000003,3576.0,5.3,1.24,37.5,23.8,0.9079999999999999,43.9,65.7,57.0,0.03,83.2,118.6,122.0,94.7,32.3,4.2,6.4,164.29,1167.994,89962.0,3260.0,13.3
Sri Lanka,3940.0,,4.3,2.4,,0.782,6.14,,1.0,0.075,0.09699999999999999,0.693,,7.1,8.0,671.0,0.68,0.39799999999999996,517.0,12.9,2.188,28.3,5.2,0.335,33.7,56.4,,0.35,76.9,6.6,135.0,81.0,23.8,2.8,,34.98,63.499,4115.0,2370.0,26.95
Sudan,815.0,,0.5,5.1,,0.51,2.54,,0.93,0.015,0.97,0.001,,58.4,12.0,84.0,1.21,0.354,293.0,4.8,4.347,,6.6,0.299,18.3,47.7,,2.38,69.1,21.0,52.0,24.3,22.7,2.2,623.0,155.2,9.521,,2280.0,26.9
Suriname,6360.0,,5.1,5.4,,0.738,6.82,,,0.5,0.14300000000000002,0.006,1.3e-05,18.0,,,0.3,0.5760000000000001,1180.0,25.9,2.394,,26.4,0.479,31.0,48.1,30465.0,0.87,71.5,40.3,183.0,76.0,29.3,,,48.97,29.514,47.0,2460.0,25.7
Sweden,52896.0,169.0,9.2,1.1,,0.945,9.26,46.0,0.17,0.643,0.081,0.004,0.00095,2.6,15.0,,1.69,0.28800000000000003,5828.0,12.4,1.7,52.7,20.6,0.958,41.1,75.2,,0.72,82.4,76.1,68.0,,33.5,7.7,36.0,341.23,2047.908,4074.0,3110.0,2.1
Switzerland,85135.0,188.69,11.5,0.6,,0.955,8.83,49.0,0.41,0.68,0.052000000000000005,0.004,0.0012,4.0,10.0,,2.85,0.327,8114.0,9.8,1.48,28.5,19.5,0.932,42.7,81.9,,0.83,83.4,72.9,80.0,,30.1,5.1,6.0,318.69,2507.621,12156.0,3450.0,5.5
Syria,1194.0,,0.3,0.9,,0.567,1.43,,0.89,0.1,0.87,,6.300000000000001e-06,21.5,10.0,96.0,0.24,0.358,,2.1,2.771,,27.8,,23.5,,1627.0,0.2,72.7,21.2,60.0,39.0,26.3,5.1,3753.0,111.43,16.229,1138.0,3040.0,17.75
Tajikistan,894.0,,3.3,1.6,,0.668,1.94,,0.85,0.013999999999999999,0.9790000000000001,0.001,,33.8,14.0,315.0,0.38,0.34,250.0,5.3,3.556,,14.2,0.215,25.3,55.6,20.0,2.06,69.5,8.7,121.0,98.1,22.5,5.2,,54.54,6.813,132.0,2190.0,2.0
Tanzania,1084.0,,9.4,6.5,,0.529,5.1,,0.89,0.614,0.35200000000000004,0.001,,50.3,7.0,209.0,0.34,0.405,112.0,8.2,4.832,23.6,8.4,,18.2,60.2,,3.06,67.3,10.0,59.0,43.5,18.9,3.4,,40.29,10.708,172.0,2020.0,22.35
Thailand,7785.0,206.81,8.3,2.6,,0.777,6.04,,0.97,0.012,0.054000000000000006,0.932,1.3e-05,9.0,7.0,3316.0,0.33,0.364,723.0,8.0,1.514,31.8,10.0,0.526,39.0,68.3,3667.0,0.22,77.7,27.9,449.0,78.7,21.0,4.1,0.4,29.35,181.722,6750.0,2540.0,26.3
Togo,899.0,,3.1,,,0.515,2.8,,0.8,0.29,0.2,0.001,,66.9,,717.0,0.26,0.431,109.0,14.8,4.259,12.2,8.4,0.122,20.0,50.3,,2.45,64.3,8.5,67.0,20.4,22.3,5.0,211.0,7.96,10.901,,2150.0,27.15
Trinidad and Tobago,16637.0,79.89,8.4,30.6,,0.796,7.16,,0.92,0.5760000000000001,0.057999999999999996,0.003,,17.5,,4619.0,0.76,0.40299999999999997,2100.0,8.3,1.711,,18.6,0.762,37.8,57.0,44054.0,0.26,76.1,57.8,292.0,82.8,29.2,3.1,,103.8,151.816,,2700.0,25.75
Tunisia,3318.0,,1.9,3.1,,0.74,6.59,,0.93,0.001,0.998,0.001,6.3e-05,16.9,13.0,1902.0,0.97,0.32799999999999996,912.0,3.2,2.174,39.7,26.9,0.5529999999999999,32.7,55.4,4275.0,1.09,77.0,25.5,194.0,39.8,28.7,6.6,,114.47,481.185,720.0,3330.0,19.2
Turkey,9127.0,,2.0,2.6,,0.82,4.48,28.0,0.82,0.002,0.895,0.001,0.00094,10.0,12.0,7288.0,0.63,0.419,1171.0,2.3,2.055,35.4,32.1,0.754,32.2,64.6,622.0,1.37,78.6,19.3,335.0,88.1,24.8,4.4,8.5,193.94,407.286,75667.0,3500.0,9.9
Turkmenistan,8124.0,,5.4,4.2,,0.715,1.72,,0.8,0.09,0.937,0.001,1.3e-05,42.0,14.0,1834.0,0.01,0.408,1275.0,6.1,2.74,,18.6,0.209,29.2,48.4,42549.0,1.61,69.7,41.7,552.0,97.6,23.3,3.0,,137.09,0.684,450.0,2740.0,15.1
Uganda,737.0,,9.5,10.5,,0.544,4.94,,0.93,0.8859999999999999,0.14,0.001,,45.8,12.0,417.0,0.24,0.428,139.0,10.4,4.824,25.2,5.3,0.23800000000000002,15.7,59.7,,3.23,66.7,11.7,124.0,36.1,18.2,2.6,143.0,37.27,15.75,288.0,2220.0,22.8
Ukraine,3496.0,67.52,8.6,6.2,,0.779,5.81,,0.46,0.8190000000000001,0.017,0.001,0.003,8.4,14.0,3018.0,0.81,0.261,683.0,17.7,1.228,38.8,24.1,0.6659999999999999,41.2,52.3,720.0,-0.49,73.0,32.3,148.0,100.0,25.0,5.4,168.0,145.03,234.597,24416.0,3290.0,8.3
United Arab Emirates,43103.0,151.09,3.8,0.5,,0.89,2.7,,0.91,0.09,0.76,0.02,,7.5,7.0,,0.59,0.325,3173.0,5.2,1.387,21.8,31.7,0.925,38.4,77.1,335103.0,1.39,76.1,74.4,104.0,42.1,25.3,1.3,,132.66,326.551,293.0,3170.0,27.0
United Kingdom,41855.0,92.63,11.4,1.2,2.2,0.932,8.54,49.0,0.27,0.593,0.063,0.004,0.018000000000000002,4.3,11.0,23656.0,3.45,0.348,4620.0,6.9,1.65,35.2,27.8,0.968,40.6,78.9,14284.0,0.58,81.4,79.6,,,31.5,5.5,57.2,232.2,1454.849,188000.0,3450.0,8.45
United States,65134.0,191.97,9.8,5.0,3.7,0.926,7.92,47.0,0.69,0.69,0.011000000000000001,0.012,0.36,6.5,0.0,15080.0,1.02,0.414,10624.0,14.5,1.705,32.3,36.2,0.955,38.5,76.8,35922.0,0.71,78.4,124.8,639.0,,28.0,5.0,17.7,254.69,1292.61,275232.0,3800.0,8.55
Uruguay,16190.0,53.88,10.8,12.1,,0.817,8.61,,0.41,0.581,0.001,0.001,0.0011,7.1,13.0,6103.0,0.5,0.397,2169.0,18.8,1.963,39.0,27.9,0.684,35.5,68.6,,0.36,77.1,98.6,337.0,97.1,24.0,4.9,,210.54,247.008,3231.0,2840.0,17.55
Uzbekistan,1756.0,39.2,2.7,1.1,,0.72,2.12,,0.59,0.026000000000000002,0.887,0.001,0.00018999999999999998,17.4,13.0,862.0,0.24,0.353,459.0,8.3,2.785,16.1,16.6,0.514,30.1,53.3,1682.0,1.41,73.0,20.7,68.0,99.8,22.4,6.3,,130.81,10.9,1003.0,2560.0,12.05
Venezuela,4733.0,,5.6,36.7,,0.711,2.76,,0.79,0.88,0.004,0.001,0.00043999999999999996,24.2,,10.32,0.23,0.469,384.0,2.1,2.25,,25.6,0.7120000000000001,30.0,25.9,18821.0,1.26,73.9,56.6,134.0,88.1,22.7,3.6,,117.79,22.121,2275.0,2650.0,25.35
Vietnam,2715.0,66.38,8.3,1.5,,0.704,2.94,,0.3,0.08199999999999999,0.001,0.16399999999999998,,19.9,14.0,1437.0,0.26,0.35700000000000004,440.0,7.2,2.05,,2.1,0.7140000000000001,31.9,55.3,3194.0,1.0,73.7,28.6,128.0,76.9,22.8,4.3,16.6,16.36,44.858,24589.0,2780.0,24.45
Yemen,855.0,,0.1,6.8,,0.47,1.95,,0.99,0.0001,0.992,0.001,,58.4,7.0,,0.21,0.36700000000000005,,7.1,3.7,30.9,17.1,0.265,19.8,,797.0,2.33,66.6,14.7,53.0,13.7,23.0,5.2,1294.0,43.97,4.807,,2050.0,23.85
Zambia,1292.0,,4.8,5.4,,0.584,4.86,,0.95,0.955,0.01,0.001,,61.7,8.0,925.0,0.45,0.5710000000000001,208.0,14.4,4.559,19.9,8.1,0.27399999999999997,16.9,53.6,,2.97,62.5,11.9,123.0,52.3,18.7,1.3,,9.71,12.275,,1880.0,21.4
Zimbabwe,1464.0,,4.8,7.5,,0.571,3.16,,0.88,0.87,0.006999999999999999,0.001,1.3e-05,54.6,7.0,,0.77,0.44299999999999995,198.0,23.6,3.531,18.3,15.5,0.31,20.5,40.4,,2.28,60.7,15.2,127.0,81.1,19.9,6.1,848.0,31.9,24.864,232.0,2210.0,21.0
