COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate,Fertility Rate,Tabacco Consumption,Obesity Rate,Internet Users (in %),Median Age,Economic Freedom Score,Oil Production,Population Growth Rate,Life Expectancy,Meat Consumption per kg,Incarceration Rate (per 100 000),Literacy Rate,Age at First Marriage,Spending on Education (in %),Homeless Population (per 10 000),Milk Consumption,Num. of Scientific and Technical Journals Articles,Books Published,Kilocalories,Avg. Yearly Temperature (in Celsius)
Bolivia,3552.0,,4.8,6.2,,0.718,5.08,,0.89,0.89,0.001,0.001,3.2e-05,26.0,14.0,4071.0,0.33,0.42200000000000004,496.0,6.8,2.688,,20.2,0.42700000000000005,25.3,42.3,5334.0,1.47,72.1,50.0,164.0,67.5,24.1,7.3,,46.04,9.072,1578.0,2100.0,21.55
Bosnia and Herzegovina,6109.0,44.85,6.4,1.2,,0.78,4.84,,0.77,0.4594,0.507,,3.2e-05,5.9,14.0,2789.0,0.23,0.33,1301.0,8.3,1.254,46.3,17.9,0.698,43.3,61.9,,-0.22,76.8,21.4,83.0,86.0,27.1,,20.0,174.03,211.798,,3080.0,9.85
Botswana,7961.0,,8.4,15.2,,0.735,7.62,,0.77,0.716,0.004,0.001,6.300000000000001e-06,41.6,,692.0,0.08,0.5329999999999999,1089.0,20.2,2.836,32.1,18.9,0.42100000000000004,25.7,69.5,,1.79,62.2,27.3,208.0,40.7,26.4,7.8,,117.74,124.663,158.0,2230.0,21.5
Brazil,8755.0,90.3,7.8,27.4,1.4,0.765,6.92,16.0,0.87,0.9,0.0036,0.001,0.0059,11.0,12.0,3625.0,0.38,0.539,1531.0,6.4,1.648,32.8,22.1,0.764,33.2,51.9,12113.0,0.75,75.9,82.4,357.0,74.3,30.0,6.2,10.0,149.28,287.145,46829.0,3120.0,24.95
Bulgaria,9703.0,78.84,12.7,1.3,,0.816,6.71,,0.34,0.85,0.134,0.001,0.00013,6.7,14.0,4596.0,0.63,0.40399999999999997,1634.0,6.5,1.58,49.6,25.0,0.637,43.7,69.0,140.0,-0.67,75.1,69.4,109.0,97.5,26.9,4.1,,155.71,469.538,10068.0,2760.0,10.55
Burkina Faso,787.0,,8.2,1.3,,0.452,3.73,,0.88,0.22,0.632,0.001,,87.5,,710.0,0.26,0.353,112.0,14.4,5.109,29.9,5.6,0.154,17.9,59.4,,2.87,62.7,11.2,37.0,8.4,17.9,4.2,335.0,29.79,12.759,12.0,2690.0,28.29
Burundi,260.0,,7.5,6.1,,0.433,2.14,,0.98,0.75,0.1,,,56.5,15.0,,0.26,0.386,66.0,12.1,5.321,20.6,5.4,0.054000000000000006,17.7,48.9,,3.15,63.8,3.5,96.0,24.9,20.3,4.8,,4.6,1.995,,1680.0,19.8
Cambodia,1644.0,,6.7,1.8,,0.594,3.1,,0.96,0.01,0.02,0.9790000000000001,,26.6,14.0,,0.57,,261.0,5.5,2.478,44.4,3.9,0.335,26.4,57.8,,1.49,70.1,13.9,220.0,53.1,21.0,1.9,,3.47,8.985,,2180.0,26.8
Cameroon,1534.0,,8.9,1.4,,0.563,2.77,,0.96,0.7070000000000001,0.3,0.001,,74.8,,743.0,0.24,0.466,134.0,15.9,4.506,10.2,11.4,0.221,18.5,52.4,3983.0,2.56,62.4,14.4,124.0,26.1,19.0,3.1,389.0,15.27,34.739,,2240.0,24.6
Canada,46550.0,167.61,8.9,1.8,1.4,0.929,9.24,59.0,0.42,0.6114999999999999,0.032,0.008,0.025,4.9,12.0,21477.0,1.43,0.33799999999999997,5200.0,10.3,1.468,37.9,29.4,0.9159999999999999,41.8,77.7,100931.0,0.9,82.2,108.1,104.0,,29.6,5.5,10.0,187.77,1617.497,14625.0,3530.0,-5.35
