COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate
Chile,14896.0,176.48,9.3,4.4,,0.851,8.28,27.0,70.0,68.0,0.1,0.1,0.12,7.0,14.0,5753.0,82.0,44.4,2306.0,8.0
China,10004.0,172.95,7.2,0.5,1.7,0.761,2.27,35.8,,3.0,1.725,18.2,0.019,7.9,12.0,1945.0,29.0,38.5,935.0,6.7
Christmas Island (Australia),,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,,,,,,,,,,,80.0,,,,,,,,,
Colombia,6432.0,53.73,5.8,25.3,,0.767,7.04,27.0,83.0,92.0,0.2,0.1,0.013,13.8,14.0,4022.0,57.0,50.4,1155.0,3.7
Comoros,1370.0,,0.9,,,0.554,3.09,,97.0,2.1,98.3,,,62.9,,1502.0,21.0,45.3,134.0,8.5
Congo,2304.0,,7.8,,,,,,,90.7,2.0,0.1,,47.8,,,,48.9,125.0,11.6
Democratic Republic of the Congo,545.0,,2.6,,,0.48,1.13,,94.0,92.0,10.0,0.1,0.00063,84.8,14.0,265.0,13.0,42.1,31.0,12.4
Cook Islands,21603.0,,10.6,,,,,,,86.0,0.1,,,,,,23.0,,752.0,
Costa Rica,12238.0,47.93,4.8,11.3,,0.81,8.16,28.0,79.0,82.0,0.1,0.1,0.016,8.6,12.0,6496.0,43.0,48.0,1337.0,7.6
Côte d'Ivoire,,,,,,,,,88.0,32.8,,0.1,,,10.0,750.0,,,,
Croatia,14627.0,57.3,8.9,0.6,,0.851,6.5,,70.0,90.1,1.5,0.1,0.011,4.8,14.0,6795.0,89.0,30.4,1876.0,11.0
Cuba,9296.0,,6.1,5.0,,0.783,2.84,,34.0,65.0,0.1,0.1,0.0032,5.1,16.0,1050.0,34.0,,2519.0,10.2
Curacao,18980.0,,,19.0,,,,,,,,,,,,,,,,
Cyprus,28285.0,50.46,10.8,1.3,,0.887,7.56,,75.0,79.0,25.3,0.2,0.00063,2.3,14.0,,849.0,31.4,2625.0,3.2
Czech Republic,23452.0,85.89,14.4,0.6,,0.9,7.67,31.0,21.0,34.0,0.15,0.1,0.025,3.2,15.0,7918.0,76.0,24.9,3041.0,9.5
Denmark,60657.0,210.71,10.4,1.0,,0.94,9.15,44.0,19.0,79.0,5.4,0.2,0.041,3.8,15.0,,158.0,28.7,5794.0,7.6
Djibouti,3252.0,,0.5,,,0.524,2.71,,98.0,6.0,97.0,,,57.5,,,71.0,44.6,135.0,11.9
Dominica,8111.0,37.62,8.2,26.6,,0.742,,,,88.7,0.2,0.1,,34.7,,3081.0,55.0,,710.0,
Dominican Republic,8282.0,,6.9,10.0,,0.756,6.32,,87.0,83.0,0.1,0.1,0.00063,28.0,,2915.0,36.0,43.7,1018.0,5.1
East Timor,1561.0,,2.1,4.1,,0.606,,,,99.1,0.1,,,44.2,,,,28.7,353.0,4.5
Eastern Mediterranean,,,,,,,,,,,,,,,,,,,,6.4
Ecuador,6184.0,,4.4,5.8,,0.759,6.13,,82.0,94.0,0.1,0.1,0.0038,14.0,12.0,5200.0,57.0,45.4,955.0,7.7
Egypt,3161.0,39.66,0.4,2.6,,0.707,2.93,,97.0,10.0,92.35,0.1,0.00063,20.3,12.0,,34.0,31.5,614.0,3.4
El Salvador,4187.0,,3.7,52.0,,0.673,5.9,,,81.9,0.28,0.1,0.00063,13.3,12.0,3650.0,56.0,38.6,592.0,6.1
England and Wales,,,,1.2,,,,,,,,,,,,,,,,
Equatorial Guinea,8130.0,,11.3,,,0.592,1.92,,,88.7,10.0,,,81.8,16.0,2643.0,12.0,,697.0,13.5
Eritrea,567.0,,1.3,,,0.459,2.15,,,67.0,43.8,,,40.5,,,15.0,,74.0,17.3
Estonia,23740.0,78.58,11.6,2.1,,0.892,7.84,41.0,16.0,45.0,0.1,0.1,0.012,2.4,14.0,7626.0,89.0,30.4,2428.0,12.0
Eswatini,4002.0,,9.9,11.6,,0.611,3.08,,,82.7,10.0,,,49.4,,694.0,14.0,54.6,696.0,40.5
Ethiopia,828.0,,2.8,8.8,,0.485,3.38,,,75.0,31.3,0.1,0.00063,50.7,9.0,,32.0,35.0,67.0,9.5
EU,,,,,,,,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,94.3,0.1,0.1,,,,,,,,
Faroe Islands,,,,,,,,,,95.4,0.1,,,,,,38.0,,,
Federated States of Micronesia,,,,,,,,,,95.4,,0.4,,,,,,,,
Fiji,6185.0,,3.0,,,0.743,5.72,,,64.4,6.3,0.1,,25.7,10.0,3096.0,18.0,36.7,372.0,9.5
Finland,48678.0,119.32,10.7,1.6,,0.938,9.2,41.0,28.0,69.8,1.8,0.1,0.0082,2.4,15.0,,223.0,27.4,4457.0,13.4
France,40319.0,192.25,12.6,1.2,2.1,0.901,7.99,45.0,30.0,60.5,8.8,0.5,2.9,4.5,13.0,21786.0,230.0,31.6,5250.0,9.7
French Guiana,,,,13.2,,,,,,,0.9,0.1,,,,,,,,
French Polynesia,21567.0,,,,,,,,,,0.1,0.1,,,,,,,,
Gabon,7773.0,,11.5,,,0.703,3.54,,,88.0,10.0,,,42.5,,3072.0,35.0,38.0,491.0,13.1
Gambia,776.0,,3.8,,,0.496,4.49,,,4.2,95.7,,,51.7,12.0,,61.0,35.9,81.0,9.6
Gaza Strip,,,,,,,,,,,,,,,,,,,,
Georgia,4439.0,,9.8,2.2,,0.812,5.31,,81.0,88.6,10.7,,0.0095,9.6,14.0,106.0,128.0,36.4,796.0,7.7
Germany,46232.0,120.93,13.4,0.9,1.4,0.947,8.67,30.0,40.0,55.0,6.55,0.3,0.74,3.8,14.0,22214.0,165.0,31.9,6098.0,8.3
Ghana,2203.0,51.93,2.7,2.1,,0.611,6.5,,95.0,71.2,17.6,0.1,,46.2,,482.0,30.0,43.5,168.0,10.5
Gibraltar,,,,3.0,,,,,,,4.0,,0.0044,,,,,,,
Greece,19604.0,36.73,10.4,0.9,,0.888,7.39,40.0,71.0,93.0,3.85,0.1,0.027,3.8,15.0,10389.0,298.0,34.4,2340.0,3.6
Greenland,53353.0,,,5.3,,,,,,96.6,0.1,,,,,,2.0,,,
Grenada,10818.0,54.65,9.3,10.8,,0.779,,,,97.3,0.3,,,16.5,,,66.0,,694.0,0.6
Guadeloupe,,,,5.8,,,,,,,0.4,,,,,,,,,
Guam,,,,,,,,,,,0.1,1.1,,,,,,,,
Guatemala,4363.0,,2.4,22.5,,0.663,4.97,,88.0,87.0,0.1,0.1,0.0057,24.5,,3941.0,28.0,48.3,483.0,6.2
Guernsey,,,,,,,,,,,,,,,,,,,,
Guinea,967.0,,1.3,,,0.477,3.08,,97.0,8.9,89.1,0.1,,98.8,10.0,,20.0,33.7,109.0,12.3
Guinea Bissau,688.0,,4.8,1.1,,0.48,2.63,,,10.0,45.1,,,78.5,16.0,390.0,94.0,50.7,123.0,12.4
Guyana,6610.0,45.37,6.3,14.2,,0.682,6.01,,,64.0,7.3,0.1,,29.3,,2015.0,36.0,44.6,513.0,40.9
Haiti,715.0,,5.8,6.7,,0.51,4.22,,85.0,96.0,0.1,0.1,,62.8,,1075.0,24.0,41.1,144.0,11.2
Holy See,,,,0.0,,,,,,,,,,,,,,,,
Honduras,2575.0,,4.0,38.9,,0.634,5.36,,,88.0,0.3,0.1,,16.8,,2372.0,38.0,52.1,362.0,2.6
Hong Kong,49180.0,240.83,,0.7,,0.949,5.57,,24.0,11.8,4.1,13.2,,,10.0,9954.0,,,,
Hungary,16879.0,193.8,11.4,2.5,,0.854,6.56,32.0,39.0,58.935,0.5,0.1,0.3,3.7,12.0,6647.0,160.0,30.6,2115.0,11.8
Iceland,71345.0,,9.1,0.9,,0.949,9.37,40.0,,75.1,0.2,0.4,,2.0,15.0,,81.0,26.8,5113.0,11.2
India,2116.0,55.76,5.7,3.1,2.9,0.645,6.61,,90.0,2.3,14.6,0.8,0.03,34.3,7.0,709.0,20.2,37.8,275.0,12.9
Indonesia,4136.0,,0.8,0.4,,0.718,6.3,11.0,99.0,10.72,86.7,0.8,0.00063,23.9,8.0,2477.0,37.0,39.0,375.0,2.6
Iran,7282.0,,1.0,2.5,,0.783,2.2,,73.0,0.4,99.4,0.1,0.053,13.9,12.0,1275.0,2.0,40.8,1691.0,5.1
Iraq,5730.0,,0.4,10.1,,0.674,3.62,,84.0,3.0,95.7,0.1,,25.9,9.0,2538.0,44.0,29.5,716.0,4.7
Ireland,81637.0,112.81,13.0,0.9,,0.955,9.05,52.0,54.0,83.8,1.4,0.2,0.016,3.3,10.0,23395.0,701.0,32.8,5897.0,8.9
Isle of Man,,,,0.0,,,,,,,0.2,,,,,,,,,
