COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate
Saint Vincent and the Grenadines,7464.0,46.51,8.2,36.5,,0.738,,,,,1.7,,,14.6,,2407.0,42.0,,550.0,1.0
Samoa,4285.0,,2.5,,,0.715,,,,,0.1,,,15.0,,1589.0,51.0,,355.0,14.6
San Marino,47313.0,115.27,,0.0,,,,,,91.6,0.1,,,1.7,14.0,20580.0,23.0,,4340.0,
Sao Tome and Principe,1961.0,,6.8,3.3,,0.625,,,,,3.0,,,29.8,16.0,,67.0,56.3,214.0,2.2
Saudi Arabia,23140.0,90.24,0.2,1.3,8.4,0.854,2.08,26.0,93.0,5.0,98.2,0.3,,6.6,12.0,9600.0,31.0,,3520.0,5.4
Scotland,,,,1.1,,,,,,,,,,,,,,,,
Senegal,1452.0,35.32,0.7,0.3,,0.512,5.67,,96.0,4.2,96.1,0.3,,45.3,13.0,649.0,42.0,40.3,146.0,11.0
Serbia,7359.0,77.88,11.1,1.2,,0.806,6.22,,54.0,91.0,3.1,0.1,0.0089,5.3,14.0,3410.0,62.0,36.2,1485.0,7.9
Seychelles,17382.0,,13.8,12.5,,0.796,,,,94.7,1.1,0.1,,14.2,,3957.0,180.0,46.8,1549.0,7.7
Sierra Leone,528.0,,5.7,1.7,,0.452,4.86,,,15.45,78.6,0.3,,109.2,14.0,666.0,36.0,35.7,257.0,11.3
Singapore,64103.0,245.5,2.5,0.2,,0.938,6.03,,70.0,18.0,15.6,33.9,0.0057,2.5,10.0,,471.0,,4439.0,9.7
Sint Maarten,,,,,,,,,,,,,,,,,,,,
Slovakia,19256.0,101.28,11.5,1.1,,0.86,6.97,31.0,47.0,80.0,0.15,0.1,0.016,5.8,14.0,8410.0,112.0,25.2,2180.0,9.3
Slovenia,26062.0,108.47,12.6,0.5,,0.917,7.54,41.0,47.0,68.0,3.6,0.1,0.00063,2.1,14.0,12153.0,104.0,24.2,3158.0,14.0
Solomon Islands,1945.0,,1.4,,,0.567,,,,,0.1,0.3,,19.7,8.0,916.0,40.0,,108.0,17.4
Somalia,105.0,,0.0,,,,,,100.0,0.01,99.8,,,117.0,,,52.0,,,14.7
Somaliland,,,,,,,,,,,,,,,,,,,,
South Africa,6001.0,43.91,9.3,36.4,,0.709,7.05,14.0,85.0,79.8,1.9,0.2,0.43,34.5,12.0,3239.0,57.0,63.0,1129.0,23.5
South Korea,32143.0,241.58,10.2,0.6,2.8,0.916,8.01,69.0,43.0,27.6,0.1,22.9,0.00063,3.2,14.0,18695.0,33.0,31.6,3214.0,21.2
South Sudan,448.0,,,14.9,,0.433,,,,60.5,20.0,,,96.2,,,,46.3,114.0,6.7
South-East Asia,,,,,,,,,,,,,,,,,,,,
Spain,29816.0,186.4,10.0,0.6,,0.904,8.12,41.0,49.0,59.2,2.6,0.1,0.074,3.1,14.0,15187.0,170.0,34.7,3576.0,5.3
Sri Lanka,3940.0,,4.3,2.4,,0.782,6.14,,100.0,7.5,9.7,69.3,,7.1,8.0,671.0,68.0,39.8,517.0,12.9
State of Palestine,,,,,,,,,93.0,,,,,,,,,,,
Sudan,815.0,,0.5,5.1,,0.51,2.54,,93.0,1.5,97.0,0.1,,58.4,12.0,84.0,121.0,35.4,293.0,4.8
Suriname,6360.0,,5.1,5.4,,0.738,6.82,,,50.0,14.3,0.6,0.0013,18.0,,,30.0,57.6,1180.0,25.9
Svalbard (Norway),,,,,,,,,,,,,,,,,,,,
Svalbard and Jan Mayen,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,0.1,,,7.0,,,,,
Sweden,52896.0,169.0,9.2,1.1,,0.945,9.26,46.0,17.0,64.3,8.1,0.4,0.095,2.6,15.0,,169.0,28.8,5828.0,12.4
Switzerland,85135.0,188.69,11.5,0.6,,0.955,8.83,49.0,41.0,68.0,5.2,0.4,0.12,4.0,10.0,,285.0,32.7,8114.0,9.8
Syria,1194.0,,0.3,0.9,,0.567,1.43,,89.0,10.0,87.0,,0.00063,21.5,10.0,96.0,24.0,35.8,,2.1
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,
Taiwan,28371.0,163.85,,0.8,,,8.94,,45.0,,0.3,21.3,0.00063,,14.0,9702.0,28.0,,,
Tajikistan,894.0,,3.3,1.6,,0.668,1.94,,85.0,1.4,97.9,0.1,,33.8,14.0,315.0,38.0,34.0,250.0,5.3
Tanzania,1084.0,,9.4,6.5,,0.529,5.1,,89.0,61.4,35.2,0.1,,50.3,7.0,209.0,34.0,40.5,112.0,8.2
Thailand,7785.0,206.81,8.3,2.6,,0.777,6.04,,97.0,1.2,5.4,93.2,0.0013,9.0,7.0,3316.0,33.0,36.4,723.0,8.0
The Bahamas,,,,,,,,,,,,,,,,10920.0,,,,
The Gambia,,,,,,,,,,,,,,,,260.0,,,,
Timor-Leste,,,,,,,7.06,,,,,,,,16.0,1380.0,12.0,,,
Togo,899.0,,3.1,,,0.515,2.8,,80.0,29.0,20.0,0.1,,66.9,,717.0,26.0,43.1,109.0,14.8
Tokelau,,,,,,,,,,,0.1,,,,,,,,,
Tonga,4865.0,,1.5,,,0.725,,,,81.0,0.1,0.1,,16.6,,,54.0,,355.0,4.4
Trinidad and Tobago,16637.0,79.89,8.4,30.6,,0.796,7.16,,92.0,57.6,5.8,0.3,,17.5,,4619.0,76.0,40.3,2100.0,8.3
Tunisia,3318.0,,1.9,3.1,,0.74,6.59,,93.0,0.1,99.8,0.1,0.0063,16.9,13.0,1902.0,97.0,32.8,912.0,3.2
Turkey,9127.0,,2.0,2.6,,0.82,4.48,28.0,82.0,0.2,89.5,0.1,0.094,10.0,12.0,7288.0,63.0,41.9,1171.0,2.3
Turkmenistan,8124.0,,5.4,4.2,,0.715,1.72,,80.0,9.0,93.7,0.1,0.0013,42.0,14.0,1834.0,1.0,40.8,1275.0,6.1
Turks and Caicos Islands,31353.0,,,5.7,,,,,,,0.1,,,,,,,,,
Tuvalu,4036.0,,1.7,,,,,,,,0.1,0.1,,23.9,,,,,758.0,
Uganda,737.0,,9.5,10.5,,0.544,4.94,,93.0,88.6,14.0,0.1,,45.8,12.0,417.0,24.0,42.8,139.0,10.4
Ukraine,3496.0,67.52,8.6,6.2,,0.779,5.81,,46.0,81.9,1.7,0.1,0.3,8.4,14.0,3018.0,81.0,26.1,683.0,17.7
United Arab Emirates,43103.0,151.09,3.8,0.5,,0.89,2.7,,91.0,9.0,76.0,2.0,,7.5,7.0,,59.0,32.5,3173.0,5.2
United Kingdom,41855.0,92.63,11.4,1.2,2.2,0.932,8.54,49.0,27.0,59.3,6.3,0.4,1.8,4.3,11.0,23656.0,345.0,34.8,4620.0,6.9
United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,
United States,65134.0,191.97,9.8,5.0,3.7,0.926,7.92,47.0,69.0,69.0,1.1,1.2,36.0,6.5,0.0,15080.0,102.0,41.4,10624.0,14.5
Uruguay,16190.0,53.88,10.8,12.1,,0.817,8.61,,41.0,58.1,0.1,0.1,0.11,7.1,13.0,6103.0,50.0,39.7,2169.0,18.8
US Virgin Islands,,,,,,,,,,,,0.1,,,,,,,,
Uzbekistan,1756.0,39.2,2.7,1.1,,0.72,2.12,,59.0,2.6,88.7,0.1,0.019,17.4,13.0,862.0,24.0,35.3,459.0,8.3
Vanuatu,3023.0,,1.0,,,0.609,,,,,0.1,0.1,,25.9,10.0,3095.0,27.0,,109.0,21.0
Vatican,,,,,,,,,,,0.0,,,,,,,,,
Venezuela,4733.0,,5.6,36.7,,0.711,2.76,,79.0,88.0,0.4,0.1,0.044,24.2,,10.32,23.0,46.9,384.0,2.1
Vietnam,2715.0,66.38,8.3,1.5,,0.704,2.94,,30.0,8.2,0.1,16.4,,19.9,14.0,1437.0,26.0,35.7,440.0,7.2
Virgin Islands,,,,49.3,,,,,,,0.1,,0.0025,,,,,,,
Wallis and Futuna,,,,,,,,,,,0.1,,,,,,6.0,,,
West Bank,,,,,,,,,,,,,2.7,19.4,,,,,,
Western Sahara,,,,,,,,,,,99.4,,,,,,,,,
Western Samoa,,,,,,,,,,,,,,,,,,,,
Yemen,855.0,,0.1,6.8,,0.47,1.95,,99.0,0.01,99.2,0.1,,58.4,7.0,,21.0,36.7,,7.1
Zambia,1292.0,,4.8,5.4,,0.584,4.86,,95.0,95.5,1.0,0.1,,61.7,8.0,925.0,45.0,57.1,208.0,14.4
Zimbabwe,1464.0,,4.8,7.5,,0.571,3.16,,88.0,87.0,0.7,0.1,0.0013,54.6,7.0,,77.0,44.3,198.0,23.6
