COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate,Fertility Rate,Tabacco Consumption,Obesity Rate,Internet Users (in %),Median Age,Economic Freedom Score,Oil Production,Population Growth Rate,Life Expectancy,Meat Consumption per kg,Incarceration Rate (per 100 000),Literacy Rate,Age at First Marriage,Spending on Education (in %),Homeless Population (per 10 000),Milk Consumption,Num. of Scientific and Technical Journals Articles,Books Published,Kilocalories,Avg. Yearly Temperature (in Celsius)
Switzerland,85135.0,188.69,11.5,0.6,7.576687235478037,0.955,8.83,49.0,0.41,0.68,0.052,0.004,0.0012,4.0,10.0,24874.25346826133,2.85,0.327,8114.0,9.8,1.48,28.5,19.5,0.932,42.7,81.9,170014.06033810638,0.83,83.4,72.9,80.0,100.46828080018813,30.1,5.1,6.0,318.69,2507.621,12156.0,3450.0,5.5
Syria,1194.0,299.4745550289447,0.3,0.9,40.70762921982747,0.567,1.43,-39.749179309902445,0.89,0.1,0.87,-0.09573008750773362,6.300000000000001e-06,21.5,10.0,96.0,0.24,0.358,-975.7277270035065,2.1,2.771,33.14768402371294,27.8,0.723596900996559,23.5,62.14826892443799,1627.0,0.2,72.7,21.2,60.0,39.0,26.3,5.1,3753.0,111.43,16.229,1138.0,3040.0,17.75
Tajikistan,894.0,57.67803746722075,3.3,1.6,5.415109280793631,0.668,1.94,-12.445576772283658,0.85,0.0139999999999999,0.979,0.001,-0.014299568180163535,33.8,14.0,315.0,0.38,0.34,250.0,5.3,3.556,31.286613266481325,14.2,0.215,25.3,55.6,20.0,2.06,69.5,8.7,121.0,98.1,22.5,5.2,119.38993782243796,54.54,6.813,132.0,2190.0,2.0
Tanzania,1084.0,-7.980540855374443,9.4,6.5,6.33709002691006,0.529,5.1,21.207708212326793,0.89,0.614,0.352,0.001,0.1269518926605111,50.3,7.0,209.0,0.34,0.405,112.0,8.2,4.832,23.6,8.4,0.5356138371738819,18.2,60.2,-16977.98447807342,3.06,67.3,10.0,59.0,43.5,18.9,3.4,51.472162109457145,40.29,10.708,172.0,2020.0,22.35
Thailand,7785.0,206.81,8.3,2.6,7.72260680639676,0.777,6.04,80.19055469697551,0.97,0.012,0.054,0.932,1.3e-05,9.0,7.0,3316.0,0.33,0.364,723.0,8.0,1.514,31.8,10.0,0.526,39.0,68.3,3667.0,0.22,77.7,27.9,449.0,78.7,21.0,4.1,0.4,29.35,181.722,6750.0,2540.0,26.3
Togo,899.0,93.87413970913587,3.1,5.846983027802146,1.4524001216721185,0.515,2.8,2.677396492292445,0.8,0.29,0.2,0.001,0.0134449592097865,66.9,12.108965502834055,717.0,0.26,0.431,109.0,14.8,4.259,12.2,8.4,0.122,20.0,50.3,-12617.884938520387,2.45,64.3,8.5,67.0,20.4,22.3,5.0,211.0,7.96,10.901,-12026.360769800413,2150.0,27.15
Trinidad and Tobago,16637.0,79.89,8.4,30.6,3.3633775980023297,0.796,7.16,10.190703933899613,0.92,0.5760000000000001,0.0579999999999999,0.003,0.008534749647122863,17.5,8.543715987839883,4619.0,0.76,0.4029999999999999,2100.0,8.3,1.711,25.056491639708454,18.6,0.762,37.8,57.0,44054.0,0.26,76.1,57.8,292.0,82.8,29.2,3.1,30.565926986851366,103.8,151.816,23167.248297314705,2700.0,25.75
Tunisia,3318.0,78.86642575210249,1.9,3.1,0.4319009711769436,0.74,6.59,10.724611562273651,0.93,0.001,0.998,0.001,6.3e-05,16.9,13.0,1902.0,0.97,0.3279999999999999,912.0,3.2,2.174,39.7,26.9,0.5529999999999999,32.7,55.4,4275.0,1.09,77.0,25.5,194.0,39.8,28.7,6.6,28.66902362475338,114.47,481.185,720.0,3330.0,19.2
Turkey,9127.0,49.78810758457871,2.0,2.6,4.345446554614545,0.82,4.48,28.0,0.82,0.002,0.895,0.001,0.00094,10.0,12.0,7288.0,0.63,0.419,1171.0,2.3,2.055,35.4,32.1,0.754,32.2,64.6,622.0,1.37,78.6,19.3,335.0,88.1,24.8,4.4,8.5,193.94,407.286,75667.0,3500.0,9.9
Turkmenistan,8124.0,94.8998549088301,5.4,4.2,-1.6993360167994775,0.715,1.72,9.51670184757836,0.8,0.09,0.937,0.001,1.3e-05,42.0,14.0,1834.0,0.01,0.408,1275.0,6.1,2.74,37.60290110127508,18.6,0.209,29.2,48.4,42549.0,1.61,69.7,41.7,552.0,97.6,23.3,3.0,-12.838612435595735,137.09,0.684,450.0,2740.0,15.1
Uganda,737.0,33.76950854589859,9.5,10.5,3.580342471359801,0.544,4.94,39.88232234784374,0.93,0.8859999999999999,0.14,0.001,0.010385795948726018,45.8,12.0,417.0,0.24,0.428,139.0,10.4,4.824,25.2,5.3,0.238,15.7,59.7,30962.896040604122,3.23,66.7,11.7,124.0,36.1,18.2,2.6,143.0,37.27,15.75,288.0,2220.0,22.8
Ukraine,3496.0,67.52,8.6,6.2,3.7855509387276243,0.779,5.81,27.864671625224076,0.46,0.8190000000000001,0.017,0.001,0.003,8.4,14.0,3018.0,0.81,0.261,683.0,17.7,1.228,38.8,24.1,0.6659999999999999,41.2,52.3,720.0,-0.49,73.0,32.3,148.0,100.0,25.0,5.4,168.0,145.03,234.597,24416.0,3290.0,8.3
United Arab Emirates,43103.0,151.09,3.8,0.5,-0.9434632600447326,0.89,2.7,29.372840820113396,0.91,0.09,0.76,0.02,-0.0514799886565952,7.5,7.0,9443.712507098779,0.59,0.325,3173.0,5.2,1.387,21.8,31.7,0.925,38.4,77.1,335103.0,1.39,76.1,74.4,104.0,42.1,25.3,1.3,182.90015884516487,132.66,326.551,293.0,3170.0,27.0
United Kingdom,41855.0,92.63,11.4,1.2,2.2,0.932,8.54,49.0,0.27,0.593,0.063,0.004,0.018,4.3,11.0,23656.0,3.45,0.348,4620.0,6.9,1.65,35.2,27.8,0.968,40.6,78.9,14284.0,0.58,81.4,79.6,147.69027994384726,85.05729047016447,31.5,5.5,57.2,232.2,1454.849,188000.0,3450.0,8.45
United States,65134.0,191.97,9.8,5.0,3.7,0.926,7.92,47.0,0.69,0.69,0.011,0.012,0.36,6.5,0.0,15080.0,1.02,0.414,10624.0,14.5,1.705,32.3,36.2,0.955,38.5,76.8,35922.0,0.71,78.4,124.8,639.0,44.65671410042026,28.0,5.0,17.7,254.69,1292.61,275232.0,3800.0,8.55
Uruguay,16190.0,53.88,10.8,12.1,0.0637114625157954,0.817,8.61,59.22535895394694,0.41,0.581,0.001,0.001,0.0011,7.1,13.0,6103.0,0.5,0.397,2169.0,18.8,1.963,39.0,27.9,0.684,35.5,68.6,56407.73520464844,0.36,77.1,98.6,337.0,97.1,24.0,4.9,-111.62968101440947,210.54,247.008,3231.0,2840.0,17.55
Uzbekistan,1756.0,39.2,2.7,1.1,9.008794006081995,0.72,2.12,0.30089233780248037,0.59,0.026,0.887,0.001,0.0001899999999999,17.4,13.0,862.0,0.24,0.353,459.0,8.3,2.785,16.1,16.6,0.514,30.1,53.3,1682.0,1.41,73.0,20.7,68.0,99.8,22.4,6.3,91.01703885541343,130.81,10.9,1003.0,2560.0,12.05
Venezuela,4733.0,-106.44712452930457,5.6,36.7,3.735898609133892,0.711,2.76,19.901170333579643,0.79,0.88,0.004,0.001,0.0004399999999999,24.2,12.000073267454804,10.32,0.23,0.469,384.0,2.1,2.25,22.36910678434453,25.6,0.7120000000000001,30.0,25.9,18821.0,1.26,73.9,56.6,134.0,88.1,22.7,3.6,264.6633783157815,117.79,22.121,2275.0,2650.0,25.35
Vietnam,2715.0,66.38,8.3,1.5,-1.2110263105468297,0.704,2.94,26.069033623516987,0.3,0.0819999999999999,0.001,0.1639999999999999,0.0055813397885357,19.9,14.0,1437.0,0.26,0.357,440.0,7.2,2.05,43.165038776777834,2.1,0.7140000000000001,31.9,55.3,3194.0,1.0,73.7,28.6,128.0,76.9,22.8,4.3,16.6,16.36,44.858,24589.0,2780.0,24.45
Yemen,855.0,121.30307055467733,0.1,6.8,12.534558406173637,0.47,1.95,-17.02614944781189,0.99,0.0001,0.992,0.001,-0.025496584178581694,58.4,7.0,1675.5101643228663,0.21,0.367,637.5024184729136,7.1,3.7,30.9,17.1,0.265,19.8,53.45605189031606,797.0,2.33,66.6,14.7,53.0,13.7,23.0,5.2,1294.0,43.97,4.807,-12550.792495184905,2050.0,23.85
Zambia,1292.0,13.275568578027901,4.8,5.4,0.742173458333166,0.584,4.86,32.25756615745948,0.95,0.955,0.01,0.001,0.07032255880204713,61.7,8.0,925.0,0.45,0.5710000000000001,208.0,14.4,4.559,19.9,8.1,0.2739999999999999,16.9,53.6,-35952.32807321649,2.97,62.5,11.9,123.0,52.3,18.7,1.3,-56.8696866626571,9.71,12.275,45398.12709432038,1880.0,21.4
Zimbabwe,1464.0,55.81898826914721,4.8,7.5,8.245532122331218,0.571,3.16,-3.4252662291781064,0.88,0.87,0.0069999999999999,0.001,1.3e-05,54.6,7.0,1864.0359310370404,0.77,0.4429999999999999,198.0,23.6,3.531,18.3,15.5,0.31,20.5,40.4,63478.50802496127,2.28,60.7,15.2,127.0,81.1,19.9,6.1,848.0,31.9,24.864,232.0,2210.0,21.0
